Name	Math_Avg	Reading_Avg	Attendance_Ratio	Rating
160	EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL	394	393	0.121	3
161	MOTT HALL BRONX HIGH SCHOOL	367	369	0.159	4
162	BRONX CENTER FOR SCIENCE AND MATHEMATICS	480	459	0.09	4
163	VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL	363	356	0.25	4
164	LEADERSHIP INSTITUTE	353	361	0.307	2
165	MORRIS ACADEMY FOR COLLABORATIVE STUDIES	386	386	0.227	3
166	BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING	0	0	0.168	3
167	DREAMYARD PREPARATORY SCHOOL	365	382	0.253	3
168	ACADEMY FOR LANGUAGE AND TECHNOLOGY	339	315	0.092	3
169	BRONX INTERNATIONAL HIGH SCHOOL	312	314	0.201	4
170	SCHOOL FOR EXCELLENCE	360	363	0.312	3
171	BRONX HIGH SCHOOL OF BUSINESS	376	356	0.281	1
172	BRONX HIGH SCHOOL FOR MEDICAL SCIENCE	419	400	0.091	3
173	JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS	364	379	0.29	3
174	BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE	418	404	0.118	3
175	FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL	384	368	0.235	2
176	BRONX LEADERSHIP ACADEMY HIGH SCHOOL	394	384	0.154	3
177	HIGH SCHOOL FOR VIOLIN AND DANCE	315	353	0.282	4
178	RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141)	455	438	0.117	3
179	BRONX ENGINEERING AND TECHNOLOGY ACADEMY	412	373	0.228	3
180	THEATRE ARTS PRODUCTION COMPANY SCHOOL	391	405	0.134	3
181	THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS	393	382	0.215	3
182	WEST BRONX ACADEMY FOR THE FUTURE	406	382	0.199	3
183	KINGSBRIDGE INTERNATIONAL HIGH SCHOOL	356	304	0.135	3
184	BRONX SCHOOL OF LAW AND FINANCE	395	402	0.217	3
185	PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL	0	0	0.309	3
186	INTERNATIONAL SCHOOL FOR LIBERAL ARTS	333	300	0.16	4
187	INsTECH ACADEMY (M.S. / HIGH SCHOOL 368)	408	390	0.088	4
188	KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA)	401	392	0.151	4
189	ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS)	356	343	0.304	4
