BN,School_Year,Start_Date,Overall_Rating,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_1.5,Indicator_1.6,Indicator_1.7,IndicatorOverall_1,Indicator_2.1,Indicator_2.2,Indicator_2.3,Indicator_2.4,Indicator_2.5,Indicator_2.6,Indicator_2.7,IndicatorOverall_2,Indicator_3.1,Indicator_3.2,Indicator_3.3,Indicator_3.4,Indicator_3.5,Indicator_3.6,Indicator_3.7,Indicator_3.8,IndicatorOverall_3,Indicator_4.1,Indicator_4.2,Indicator_4.3,Indicator_4.4,Indicator_4.5,Indicator_4.6,Indicator_4.7,IndicatorOverall_4,Indicator_5.1,Indicator_5.2,Indicator_5.3,Indicator_5.4,Indicator_5.5,Indicator_5.6,Indicator_5.7,IndicatorOverall_5
K278,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,D,D,P,P,No Data,No Data,No Data,No Data,No Data,P,P,D,P,No Data,No Data,No Data,No Data,D,D,P,P,No Data,No Data,No Data,No Data
K308,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,D,U,U,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
K347,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,D,P,No Data,No Data,No Data,No Data
K660,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,D,D,D,P,WD,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,D,D,WD,No Data,No Data,No Data,No Data,P,P,D,D,No Data,No Data,No Data,No Data
M111,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,D,D,D,D,D,No Data,No Data,No Data,No Data,D,D,P,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
Q078,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,WD,P,WD,P,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,No Data,WD,P,D,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
Q318,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
R001,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,WD,P,WD,WD,WD,No Data,No Data,No Data,No Data,WD,P,WD,WD,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,P,WD,WD,WD,No Data,No Data,No Data,No Data,P,WD,WD,P,No Data,No Data,No Data,No Data
R038,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,P,D,D,P,WD,No Data,No Data,No Data,No Data,P,WD,P,P,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,D,P,P,WD,No Data,No Data,No Data,No Data,D,P,D,P,No Data,No Data,No Data,No Data
X089,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,D,U,D,D,P,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,No Data,U,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
X291,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,WD,P,WD,P,No Data,No Data,No Data,No Data,P,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,P,WD,WD,No Data,No Data,No Data,No Data,P,WD,WD,WD,No Data,No Data,No Data,No Data
X367,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data,D,D,P,P,No Data,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,D,D,P,P,No Data,No Data,No Data,No Data
X655,12/01/2011 12:00:00 AM,11/09/2011 12:00:00 AM,U,U,U,D,D,No Data,No Data,No Data,No Data,U,U,D,U,No Data,No Data,No Data,No Data,P,U,U,U,No Data,No Data,No Data,No Data,No Data,U,U,U,U,No Data,No Data,No Data,No Data,U,U,U,U,No Data,No Data,No Data,No Data
K193,12/01/2011 12:00:00 AM,11/14/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,D,P,No Data,No Data,No Data,No Data,D,P,P,P,No Data,No Data,No Data,No Data
K216,12/01/2011 12:00:00 AM,11/14/2011 12:00:00 AM,P,D,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,D,P,P,D,No Data,No Data,No Data,No Data
K519,12/01/2011 12:00:00 AM,11/14/2011 12:00:00 AM,D,D,D,D,D,No Data,No Data,No Data,No Data,D,D,P,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
K524,12/01/2011 12:00:00 AM,11/14/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
M410,12/01/2011 12:00:00 AM,11/14/2011 12:00:00 AM,D,P,D,P,P,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,D,P,D,D,No Data,No Data,No Data,No Data
Q285,12/01/2011 12:00:00 AM,11/15/2011 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,WD,WD,P,P,No Data,No Data,No Data,No Data,WD,P,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,WD,P,P,WD,No Data,No Data,No Data,No Data
X650,12/01/2011 12:00:00 AM,11/15/2011 12:00:00 AM,U,U,U,D,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,D,U,D,D,No Data,No Data,No Data,No Data,No Data,D,U,U,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
K256,12/01/2011 12:00:00 AM,11/16/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,D,D,U,D,No Data,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,D,D,U,D,No Data,No Data,No Data,No Data
X370,12/01/2011 12:00:00 AM,11/16/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,D,P,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data
K159,12/01/2011 12:00:00 AM,11/17/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
Q034,12/01/2011 12:00:00 AM,11/17/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
X107,12/01/2011 12:00:00 AM,11/17/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,D,D,P,P,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data
K166,12/01/2011 12:00:00 AM,11/21/2011 12:00:00 AM,D,D,D,P,D,No Data,No Data,No Data,No Data,P,D,D,U,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,D,U,D,D,No Data,No Data,No Data,No Data
K202,12/01/2011 12:00:00 AM,11/21/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,D,U,D,P,No Data,No Data,No Data,No Data,D,U,U,D,No Data,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,D,U,U,D,No Data,No Data,No Data,No Data
K231,12/01/2011 12:00:00 AM,11/21/2011 12:00:00 AM,D,D,D,P,WD,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data
K673,12/01/2011 12:00:00 AM,11/21/2011 12:00:00 AM,P,WD,P,WD,WD,No Data,No Data,No Data,No Data,WD,P,WD,WD,No Data,No Data,No Data,No Data,P,P,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,WD,P,No Data,No Data,No Data,No Data
M218,12/01/2011 12:00:00 AM,11/21/2011 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data
Q154,12/01/2011 12:00:00 AM,11/21/2011 12:00:00 AM,WD,WD,WD,WD,P,No Data,No Data,No Data,No Data,WD,WD,WD,P,No Data,No Data,No Data,No Data,WD,WD,WD,P,No Data,No Data,No Data,No Data,No Data,P,WD,WD,P,No Data,No Data,No Data,No Data,WD,P,WD,P,No Data,No Data,No Data,No Data
K688,12/01/2011 12:00:00 AM,11/22/2011 12:00:00 AM,D,D,D,P,D,No Data,No Data,No Data,No Data,P,D,P,D,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
X029,12/01/2011 12:00:00 AM,11/22/2011 12:00:00 AM,P,D,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
X467,12/01/2011 12:00:00 AM,11/22/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
K206,12/01/2011 12:00:00 AM,11/28/2011 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,WD,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
K208,12/01/2011 12:00:00 AM,11/28/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,WD,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
K088,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,P,WD,P,P,WD,No Data,No Data,No Data,No Data,WD,P,WD,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
K133,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,D,P,WD,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,WD,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
K178,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,D,P,D,P,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data
K225,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,P,P,D,P,WD,No Data,No Data,No Data,No Data,WD,D,D,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,WD,P,P,WD,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data
M052,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,P,WD,WD,WD,No Data,No Data,No Data,No Data,P,WD,WD,P,No Data,No Data,No Data,No Data
M225,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,P,D,P,WD,WD,No Data,No Data,No Data,No Data,P,D,WD,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,D,D,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
Q019,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,P,D,P,WD,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data
R022,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,P,P,D,WD,WD,No Data,No Data,No Data,No Data,P,D,P,WD,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,No Data,WD,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data
X391,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,No Data,P,P,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
X443,12/01/2011 12:00:00 AM,11/29/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,D,D,P,P,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,No Data,P,P,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
K004,12/01/2011 12:00:00 AM,11/30/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
K399,12/01/2011 12:00:00 AM,11/30/2011 12:00:00 AM,D,U,D,D,WD,No Data,No Data,No Data,No Data,D,D,U,WD,No Data,No Data,No Data,No Data,D,U,D,P,No Data,No Data,No Data,No Data,No Data,U,D,U,P,No Data,No Data,No Data,No Data,D,D,U,D,No Data,No Data,No Data,No Data
X028,12/01/2011 12:00:00 AM,11/30/2011 12:00:00 AM,P,D,D,P,WD,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,WD,P,D,WD,No Data,No Data,No Data,No Data,No Data,WD,P,D,WD,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data
X054,12/01/2011 12:00:00 AM,11/30/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,P,D,D,U,No Data,No Data,No Data,No Data,U,D,D,D,No Data,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,D,D,U,D,No Data,No Data,No Data,No Data
X299,12/01/2011 12:00:00 AM,12/01/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,No Data,P,P,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
K108,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
K609,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,D,D,D,D,D,No Data,No Data,No Data,No Data,P,D,P,D,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
M072,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,D,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
M131,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
M188,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,D,D,D,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,D,P,No Data,No Data,No Data,No Data,D,P,D,P,No Data,No Data,No Data,No Data
M192,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
Q112,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,D,P,D,WD,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data
Q237,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,D,P,D,D,No Data,No Data,No Data,No Data
Q270,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,P,P,P,WD,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data
R440,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,WD,WD,P,WD,WD,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data
X105,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,D,P,P,D,No Data,No Data,No Data,No Data
X206,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
X322,12/01/2011 12:00:00 AM,12/05/2011 12:00:00 AM,D,D,D,D,P,No Data,No Data,No Data,No Data,P,D,P,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
K146,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,WD,WD,WD,WD,WD,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,No Data,P,WD,WD,WD,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data
K194,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,P,D,D,P,P,No Data,No Data,No Data,No Data,WD,WD,WD,WD,No Data,No Data,No Data,No Data,WD,P,WD,WD,No Data,No Data,No Data,No Data,No Data,WD,WD,P,WD,No Data,No Data,No Data,No Data,D,P,P,P,No Data,No Data,No Data,No Data
K226,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,P,P,P,WD,WD,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
K270,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,P,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
K392,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
M005,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,P,D,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,D,P,P,WD,No Data,No Data,No Data,No Data,D,D,P,D,No Data,No Data,No Data,No Data
M194,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,U,U,U,D,D,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data,P,D,D,U,No Data,No Data,No Data,No Data,No Data,U,D,D,D,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
Q181,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,D,P,D,P,D,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data
Q317,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
Q650,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,P,WD,P,WD,P,No Data,No Data,No Data,No Data,WD,P,WD,P,No Data,No Data,No Data,No Data,WD,P,WD,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,WD,WD,P,No Data,No Data,No Data,No Data
X007,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,P,D,D,WD,WD,No Data,No Data,No Data,No Data,WD,P,WD,P,No Data,No Data,No Data,No Data,WD,P,WD,WD,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
X025,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,P,D,D,P,P,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
X447,12/01/2011 12:00:00 AM,12/12/2011 12:00:00 AM,P,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,WD,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data
K149,12/01/2011 12:00:00 AM,12/13/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data,No Data,P,P,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
K299,12/01/2011 12:00:00 AM,12/13/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,No Data,U,P,D,P,No Data,No Data,No Data,No Data,D,P,D,P,No Data,No Data,No Data,No Data
K366,12/01/2011 12:00:00 AM,12/13/2011 12:00:00 AM,D,D,D,P,P,No Data,No Data,No Data,No Data,P,D,P,P,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,No Data,P,P,P,D,No Data,No Data,No Data,No Data,D,D,D,P,No Data,No Data,No Data,No Data
M137,12/01/2011 12:00:00 AM,12/13/2011 12:00:00 AM,P,D,P,P,D,No Data,No Data,No Data,No Data,WD,P,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,D,P,P,P,No Data,No Data,No Data,No Data
M185,12/01/2011 12:00:00 AM,12/13/2011 12:00:00 AM,D,P,D,P,P,No Data,No Data,No Data,No Data,P,P,P,P,No Data,No Data,No Data,No Data,P,D,D,D,No Data,No Data,No Data,No Data,No Data,P,D,D,P,No Data,No Data,No Data,No Data,D,D,D,D,No Data,No Data,No Data,No Data
